COD_MUNICIPIO;PORCENTAGEM_POPULACAO_MASCULINA;PORCENTAGEM_POPULACAO_FEMININA;PORCENTAGEM_POPULACAO_MENOR_IDADE;PORCENTAGEM_POPULACAO_ADULTA;PORCENTAGEM_POPULACAO_IDOSA;RENDA_PER_CAPITA;PERCENT_AGUA_ENCANADA;IDHM;IDHM_E;IDHM_L;IDHM_R;TX_CASOS_CONFIRMADOS;TX_OBITO;TX_CURA;TX_LEITOS_TOTAL;TX_LEITOS_SUS;TX_LEITOS_NAO_SUS;TX_VACINA_TOTAL_DOSES_APLICADAS;TX_VACINA_DOSE_1;TX_VACINA_DOSE_2;TX_VACINA_DOSE_3;TX_VACINA_DOSE_REFORCO;TX_VACINA_DOSE_REFORCO_1;TX_VACINA_DOSE_REFORCO_2;TX_VACINA_DOSE_REFORCO_3;TX_VACINA_DOSE_ADICIONAL;TX_VACINA_DOSE_UNICA
314720;0,505785276;0,494214724;0,206794819;0,591388927;0,201816254;589,52;95,83;0,715;0,623;0,85;0,69;92,19563915;32,2684737;59,92716545;152,1228046;138,2934587;13,82934587;280703,4527;91163,04799;88056,05495;73,75651132;68768,72724;331,9043009;30290,87724;138,2934587;59,92716545;1820,863873
314730;0,510607409;0,489392591;0,214255608;0,613122278;0,172622114;594,47;90,31;0,729;0,657;0,852;0,692;46,83182691;32,78227884;9,366365382;224,7927692;187,3273076;37,46546153;233924,9754;82166,44031;76752,68112;65,56455767;55781,38903;0;17229,42912;56,19819229;173,2777596;1699,995317
314760;0,494373137;0,505626863;0,208406837;0,606302087;0,185291076;561,44;91,31;0,715;0,623;0,86;0,683;145,9942819;48,66476063;91,24642618;298,0716589;176,4097573;121,6619016;239692,1954;86507,69512;77760,20439;85,1633311;49917,87822;60,83095079;18717,68356;279,8223736;4294,665126;2068,252327
314790;0,495041821;0,504958179;0,220375959;0,604604639;0,175019402;802,97;99,02;0,756;0,658;0,886;0,741;212,1238251;77,60627749;107,7864965;274,2088471;162,9731827;111,2356644;229707,683;82014,31405;75136,67328;439,7689058;49791,32534;76,74398551;14168,31939;114,6848323;6070,535483;1895,317755
314800;0,488285772;0,511714228;0,200962229;0,617818043;0,181219728;844,96;96,53;0,765;0,698;0,855;0,749;373,7689229;64,66590361;281,2966807;237,9705253;120,9252397;117,0452855;270070,6798;91909,6488;85687,49555;274,1834313;58926,158;124,805194;24856,92669;460,4212337;4849,942771;2981,098156
314810;0,513515567;0,486484433;0,231056494;0,613129098;0,155814408;721,19;96,47;0,729;0,628;0,852;0,723;125,9281775;32,56763212;89,01819445;186,7210908;123,757002;62,96408876;230605,9751;81964,04533;73675,58296;213,8607842;47587,82405;268,1401711;20336,31508;207,3472578;1039,993052;5312,866386
314860;0,499429679;0,500570321;0,26320292;0,584692597;0,152104483;404,89;88,33;0,627;0,497;0,787;0,63;68,43846242;51,32884681;17,1096156;296,5666705;290,8634653;5,703205201;236221,0562;79554,00935;75162,54135;1437,207711;54351,54557;0;21466,86438;262,3474393;1853,54169;2132,998745
314870;0,494678009;0,505321991;0,265277607;0,571733859;0,162988534;330,43;91,84;0,627;0,518;0,797;0,596;73,97361608;12,32893601;32,8771627;283,5655283;250,6883656;32,8771627;223597,5835;79981,91756;73837,99778;328,771627;48288,33272;20,54822669;15731,72235;234,2497842;3115,111166;2058,932314
314910;0,507568931;0,492431069;0,210037845;0,597314832;0,192647324;544,86;75,32;0,675;0,563;0,807;0,677;18,02126509;0;18,02126509;126,1488556;81,09569292;45,05316273;273580,8254;92142,72842;84357,5419;27,03189764;66038,92593;0;22850,96414;54,06379528;6145,251397;1964,317895
314920;0,519309778;0,480690222;0,248698987;0,585866886;0,165434128;703,89;95,51;0,729;0,631;0,855;0,719;54,77951246;54,77951246;0;219,1180498;219,1180498;0;284908,2443;95836,75705;89263,21556;164,3385374;65379,34812;1232,53903;31306,49137;82,16926869;109,5590249;1533,826349
314930;0,488802591;0,511197409;0,211008611;0,614913506;0,174077883;721,25;98,42;0,757;0,7;0,856;0,723;12,27954381;12,27954381;0;118,1906092;99,7712935;18,41931572;240115,7347;80877,68039;75212,20587;121,2604952;41685,98137;469,6925509;21550,5994;787,4257471;17053,21647;2357,672412
314980;0,517699921;0,482300079;0,267897262;0,617341672;0,114761066;864,64;94,69;0,723;0,571;0,88;0,752;6,072014087;6,072014087;0;145,7283381;127,5122958;18,21604226;253154,4113;89598,63987;82640,11173;12,14402817;42789,48327;728,6416904;20068,00656;528,2652256;13425,22315;3363,895804
314990;0,493210363;0,506789637;0,206469852;0,600871298;0,19265885;663,06;97,3;0,744;0,661;0,878;0,71;88,05672707;27,8073875;60,24933957;231,7282291;166,844325;64,88390416;259405,8488;89150,48431;84752,28252;180,7480187;57746,6747;597,8588312;24210,96538;143,6715021;486,6292812;2136,534273
315030;0,49458972;0,50541028;0,162533814;0,572813345;0,26465284;429,67;91,08;0,678;0,593;0,82;0,64;293,0568079;45,08566276;247,9711452;315,5996393;315,5996393;0;328697,0243;103922,4527;98647,43012;360,6853021;79824,16592;3313,796213;40419,29666;22,54283138;428,3137962;1758,340848
315050;0,517154332;0,482845668;0,201262192;0,617326449;0,18141136;614,02;96,14;0,686;0,556;0,832;0,697;183,5915089;11,47446931;172,1170396;137,6936317;137,6936317;0;266127,3666;90694,20539;85955,24957;0;26746,98795;183,5915089;17521,51463;34,42340792;42914,5152;2076,878944
315080;0,508077773;0,491922227;0,241369537;0,592993594;0,165636869;316,15;73,54;0,6;0,461;0,799;0,585;5,66861289;5,66861289;0;141,7153223;136,0467094;5,66861289;246743,3819;84178,90142;78652,00385;408,1401281;57400,37413;0;22470,3815;209,7386769;2120,061221;1303,780965
315120;0,494995162;0,505004838;0,25256399;0,60124901;0,146187;596,67;98,17;0,731;0,68;0,828;0,693;117,864368;40,46090245;72,12595655;269,1529598;160,0844401;109,0685197;217628,6393;82063,50603;74018,82312;86,19931392;44125,25288;223,4145483;14110,29994;249,8020934;160,0844401;2591,256927
315140;0,500087926;0,499912074;0,235641684;0,608834805;0,155523511;669;90,26;0,725;0,617;0,87;0,711;161,7838427;28,13632047;130,1304822;193,4372032;130,1304822;63,30672106;212506,5945;80075,96807;73418,21123;126,6134421;39348,64418;73,85784124;10174,79689;232,1246439;6889,881476;2166,496676
315150;0,49953041;0,50046959;0,200813957;0,603836412;0,195349631;747,2;97,79;0,737;0,625;0,878;0,729;239,0642343;71,15006973;167,9141646;216,296212;133,7621311;82,53408088;238378,3476;87503,20175;82016,10838;11,38401116;50653,15764;0;16102,68378;25,6140251;133,7621311;1932,435894
315160;0,531940538;0,468059462;0,276175171;0,605544395;0,118280434;670,35;99,27;0,712;0,597;0,852;0,711;24,10606669;24,10606669;0;48,21213339;48,21213339;0;219638,409;79196,46444;72342,30615;401,7677782;48437,12334;257,1313781;16753,71635;48,21213339;48,21213339;2153,475291
315170;0,514319527;0,485680473;0,204852071;0,585680473;0,209467456;650,57;79,73;0,691;0,541;0,866;0,705;207,1005917;88,75739645;118,3431953;343,1952663;313,6094675;29,58579882;282136,0947;90485,2071;87934,91124;165,6804734;68568,04734;1899,408284;27153,84615;76,92307692;2704,142012;3147,928994
315180;0,481806192;0,518193808;0,21065957;0,602638985;0,186701445;953,96;99,06;0,779;0,706;0,872;0,768;379,1848703;84,78667907;280,8558744;309,1181008;134,2455752;174,8725256;264785,8548;89336,89751;85307,76387;197,8355845;59348,32016;237,8737385;25494,29456;144,8439101;2746,146328;1971,879085
315200;0,502325726;0,497674274;0,249193748;0,606518234;0,144288018;602,78;96,33;0,689;0,564;0,834;0,694;46,51451253;0;0;99,23096006;93,02902506;6,201935004;258112,131;88923,34408;82265,56686;167,4522451;57526,04813;1987,720169;24323,98908;186,0580501;542,6693128;2189,283056
315210;0,481575921;0,518424079;0,206956319;0,605703048;0,187340633;681,09;94,38;0,717;0,608;0,848;0,714;424,9787511;109,9945003;301,6515841;411,6460844;303,3181674;108,3279169;282442,5445;91500,42498;87367,2983;76,66283352;66848,32425;278,3194174;29580,18766;723,2971685;313,3176674;5754,712264
315220;0,502445602;0,497554398;0,221373239;0,601009967;0,177616794;323,45;75,87;0,651;0,585;0,796;0,593;95,18018137;18,50725749;68,7412421;121,6191206;100,4679692;21,15115142;235081,8285;87214,12897;77484,59932;401,8718769;6096,819396;5,287787854;4965,232795;478,5448008;56761,75872;1673,584856
315240;0,500869565;0,499130435;0,244017991;0,576611694;0,179370315;307,81;89,54;0,624;0,515;0,809;0,584;35,982009;29,9850075;5,997001499;197,9010495;191,904048;5,997001499;210092,9535;76881,55922;70272,86357;59,97001499;45421,28936;59,97001499;16449,77511;0;173,9130435;773,6131934
